ds	y	pred
2021-10-17	55958.44282	0.260930953
2021-10-18	58632.12788	0.298569843
2021-10-19	55863.99523	0.278205422
2021-10-20	58092.56591	0.275679701
2021-10-21	60897.58573	0.280581412
2021-10-22	58275.09906	0.286334063
2021-10-23	58691.27704	0.233496478
2021-10-24	55699.71144	0.244624503
2021-10-25	57775.28961	0.264280662
2021-10-26	58164.01114	0.259272463
2021-10-27	57274.74533	0.265480042
2021-10-28	57704.51138	0.266132636
2021-10-29	61391.46258	0.271478453
2021-10-30	60394.81306	0.267876844
2021-10-31	53491.62372	0.284481694
2021-11-01	43033.36109	0.232883293
2021-11-02	43284.63073	0.240056164
2021-11-03	49004.90412	0.245698696
2021-11-04	49795.67369	0.229983523
2021-11-05	49347.6365	0.241256468
2021-11-06	47386.82216	0.239186841
2021-11-07	46443.07198	0.224025375
2021-11-08	48503.77587	0.264863408
2021-11-09	50997.89805	0.274354289
2021-11-10	57696.35908	0.270064896
2021-11-11	57993.98463	0.312213919
2021-11-12	57121.6076	0.281508713
2021-11-13	60090.28941	0.256770866
2021-11-14	52707.67279	0.173282794
2021-11-15	53881.00573	0.249889364
2021-11-16	57700.22348	0.267432624
2021-11-17	57085.30974	0.284715121
2021-11-18	58787.51551	0.257933704
2021-11-19	64903.63615	0.268602065
2021-11-20	65527.58479	0.249515915
2021-11-21	59491.15431	0.204975414
2021-11-22	63728.10137	0.262740946
2021-11-23	60197.71217	0.287341898
2021-11-24	73079.59711	0.305920999
2021-11-25	75991.96312	0.343893385
2021-11-26	76825.3078	0.339823762
2021-11-27	76314.04958	0.288234353
2021-11-28	69094.00868	0.288475983
2021-11-29	63397.04759	0.294208485
2021-11-30	64994.03603	0.31517474
2021-12-01	56054.7739	0.296543673
2021-12-02	64779.32153	0.286965448
2021-12-03	63103.36595	0.277569875
2021-12-04	63145.99554	0.239709683
2021-12-05	55644.22034	0.246258193
2021-12-06	53575.086	0.259310975
2021-12-07	79371.27457	0.308892215
2021-12-08	77337.19341	0.283569025
2021-12-09	88847.83054	0.288106034
2021-12-10	80315.12487	0.277414784
2021-12-11	78976.71917	0.234688644
2021-12-12	72976.63347	0.225344623
2021-12-13	73792.74366	0.27589502
2021-12-14	105074.2812	0.407476732
2021-12-15	92096.90168	0.336508099
2021-12-16	88505.36429	0.300239888
2021-12-17	91136.73992	0.302514187
2021-12-18	68252.55716	0.262665456
2021-12-19	61745.07227	0.231374523
2021-12-20	89278.19786	0.324922328
2021-12-21	90620.07057	0.308320243
2021-12-22	93653.1064	0.314487273
2021-12-23	103024.9311	0.32755725
2021-12-24	121069.333	0.378712696
2021-12-25	124894.7691	0.33617885
2021-12-26	112756.5605	0.314698479
2021-12-27	112449.5415	0.299342213
2021-12-28	119321.2671	0.292948174
2021-12-29	126008.9298	0.271616509
2021-12-30	127657.9143	0.261182507
2021-12-31	100258.3493	0.237113614
2022-01-01	48763.74426	0.150268816
2022-01-02	53740.0645	0.157156649
2022-01-03	51991.52835	0.168153276
2022-01-04	49052.95102	0.178322423
2022-01-05	52790.37911	0.20341224
2022-01-06	47359.64786	0.195274417
2022-01-07	41290.99859	0.193574075
2022-01-08	42730.82249	0.202773432
2022-01-09	40491.36874	0.20033514
2022-01-10	35137.51346	0.201513621
2022-01-11	31754.21913	0.205415625
2022-01-12	32342.27341	0.205112111
2022-01-13	36539.86998	0.214186583
2022-01-14	36725.71661	0.202033868
2022-01-15	31564.7301	0.175412474
2022-01-16	28554.36665	0.169280278
2022-01-17	26175.4074	0.19074704
2022-01-18	30171.79197	0.192360026
2022-01-19	29129.58539	0.194528109
2022-01-20	34315.02286	0.222680973
2022-01-21	38295.42972	0.202167925
2022-01-22	34661.08925	0.1774023
2022-01-23	31892.50387	0.176283921
2022-01-24	40363.49797	0.145467786
2022-01-25	42056.83548	0.230634847
2022-01-26	47419.0356	0.263547375
2022-01-27	52208.14161	0.277422817
2022-01-28	55582.30026	0.272442171
2022-01-29	56216.76894	0.252195642
2022-01-30	54870.34344	0.273017851
2022-01-31	54566.5245	0.281645043
2022-02-01	49108.20673	0.290033555
2022-02-02	51859.25491	0.271849151
2022-02-03	57859.43082	0.258994122
2022-02-04	59095.48211	0.252131136
2022-02-05	56688.50634	0.232412132
2022-02-06	53748.90217	0.227772024
2022-02-07	52977.48201	0.218053366
